DOI
AssociatedDOIs
UseConstraints
Temporal
Contacts
Platforms
Campaigns
ScienceKeywords
Spatial
SpatialInfo
TwoDCoordinateSystems
OnlineAccessURLs
DirectDistributionInformation
OnlineResources
AssociatedDIFs
CSDTDescriptions
AssociatedBrowseImages
AssociatedBrowseImageUrls
AdditionalAttributes
CollectionAssociations
AlgorithmPackages
