Field,Description
Collection_Data_Type,"DIF/UMM CollectionDataTypeEnum = [""SCIENCE_QUALITY"", ""NEAR_REAL_TIME"", ""ON_DEMAND"", ""OTHER""]"
Data_Resolution/Horizontal_Resolution_Range,GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/horizontalresolutionrange/?format=csv
Data_Resolution/Temporal_Resolution_Range,GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/temporalresolutionrange/?format=csv
Data_Resolution/Vertical_Resolution_Range,GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/verticalresolutionrange/?format=csv
Dataset_Citation/Persistent_Identifier/Type,"DIF/UMM PersistentIdentifierEnum = [""DOI"", ""ARK""]"
Dataset_Language,"DIF/UMM DatasetLanguageEnum = [""English"", ""Afrikaans"", ""Arabic"", ""Bosnian"", ""Bulgarian"", ""Chinese"", ""Croatian"", ""Czech"", ""Danish"", ""Dutch"", ""Estonian"", ""Finnish"", ""French"", ""German"", ""Hebrew"", ""Hungarian"", ""Indonesian"", ""Italian"", ""Japanese"", ""Korean"", ""Latvian"", ""Lithuanian"", ""Norwegian"", ""Polish"", ""Portuguese"", ""Romanian"", ""Russian"", ""Slovak"", ""Spanish"", ""Ukrainian"", ""Vietnamese""]"
Dataset_Progress,"DIF/UMM DatasetProgressEnum = [""PLANNED"", ""IN WORK"", ""COMPLETE""]"
Distribution/Distribution_Format,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/GranuleDataFormat/?format=csv
Only values in the ""Short_Name"" column."
Location/Location_Category,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=csv
Only values from the ""Location_Category"" column."
Location/Location_Subregion1,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=csv
Only values from the ""Location_Subregion1"" column."
Location/Location_Subregion2,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=csv
Only values from the ""Location_Subregion2"" column."
Location/Location_Subregion3,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=csv
Only values from the ""Location_Subregion3"" column."
