Field,Description
Location/Location_Type,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=csv
Only values from the ""Location_Type"" column."
Metadata_Association/Type,"DIF/UMM MetadataAssociationTypeEnum = [""Parent"", ""Child"", ""Related"", ""Dependent"", ""Input"", ""Science Associated""]"
Metadata_Dates/Data_Creation,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Metadata_Dates/Data_Delete,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Metadata_Dates/Data_Future_Review,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Metadata_Dates/Data_Last_Revision,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Metadata_Dates/Metadata_Creation,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Metadata_Dates/Metadata_Delete,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Metadata_Dates/Metadata_Future_Review,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Metadata_Dates/Metadata_Last_Revision,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Metadata_Version,"DIF/UMM MetadataVersionEnum = [""VERSION 9.8.1"", ""VERSION 9.8.2"", ""VERSION 9.8.2.2"", ""VERSION 9.8.3"", ""VERSION 9.8.4"", ""VERSION 9.9.3"", ""VERSION 10.2""]"
Organization/Organization_Name/Long_Name,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/providers/?format=csv
Only values from the ""Long_Name"" column."
Organization/Organization_Name/Short_Name,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/providers/?format=csv
Only values from the ""Short_Name"" column."
Organization/Organization_Type,"DIF/UMM OrganizationTypeEnum = [""DISTRIBUTOR"", ""ARCHIVER"", ""ORIGINATOR"", ""PROCESSOR""]"
Organization/Personnel/Contact_Group/Phone/Type,"DIF/UMM PhoneTypeEnum = [""Direct Line"", ""Primary"", ""Telephone"", ""Fax"", ""Mobile"", ""Modem"", ""TDD/TTY Phone"", ""U.S. toll free"", ""Other""]"
Organization/Personnel/Contact_Person/Phone/Type,"DIF/UMM PhoneTypeEnum = [""Direct Line"", ""Primary"", ""Telephone"", ""Fax"", ""Mobile"", ""Modem"", ""TDD/TTY Phone"", ""U.S. toll free"", ""Other""]"
Organization/Personnel/Role,"DIF/UMM OrganizationPersonnelRoleEnum = [""DATA CENTER CONTACT""]"
Personnel/Contact_Group/Phone/Type,"DIF/UMM PhoneTypeEnum = [""Direct Line"", ""Primary"", ""Telephone"", ""Fax"", ""Mobile"", ""Modem"", ""TDD/TTY Phone"", ""U.S. toll free"", ""Other""]"
Personnel/Contact_Person/Phone/Type,"DIF/UMM PhoneTypeEnum = [""Direct Line"", ""Primary"", ""Telephone"", ""Fax"", ""Mobile"", ""Modem"", ""TDD/TTY Phone"", ""U.S. toll free"", ""Other""]"
Personnel/Role,"DIF/UMM PersonnelRoleEnum = [""INVESTIGATOR"", ""INVESTIGATOR, TECHNICAL CONTACT"", ""METADATA AUTHOR"", ""METADATA AUTHOR, TECHNICAL CONTACT"", ""TECHNICAL CONTACT""]"
Platform/Instrument/Long_Name,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/instruments/?format=csv
Only values from the ""Long_Name"" column."
Platform/Instrument/Sensor/Long_Name,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/instruments/?format=csv
Only values from the ""Long_Name"" column."
Platform/Instrument/Sensor/Short_Name,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/instruments/?format=csv
Only values from the ""Short_Name"" column."
Platform/Instrument/Short_Name,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/instruments/?format=csv
Only values from the ""Short_Name"" column."
Platform/Long_Name,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/platforms/?format=csv
Only values from the ""Long_Name"" column."
Platform/Short_Name,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/platforms/?format=csv
Only values from the ""Short_Name"" column."
Platform/Type,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/platforms/?format=csv
Only values from the ""Category"" column."
Private,"DIF/UMM PrivateEnum = [""True"", ""False""]"
Product_Flag,"DIF/UMM ProductFlagEnum = [""Not provided"", ""DATA_PRODUCT_FILE"", ""INSTRUMENT_ANCILLARY_FILE"", ""SYSTEM/SPACECRAFT_FILE"", ""EXTERNAL_DATA""]"
Product_Level_Id,"DIF/UMM ProductLevelIdEnum = [""Not provided"", ""0"", ""1"", ""1A"", ""1B"", ""1T"", ""2"", ""2G"", ""2P"", ""3"", ""4"", ""NA""], but whenever possible, only NASA approved processing levels [""0"", ""1A"", ""1B"", ""2"", ""3"", ""4""] should be used."
Project/Long_Name,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/projects/?format=csv
Only values from the ""Long_Name"" column."
Project/Short_Name,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/projects/?format=csv
Only values from the ""Short_Name"" column."
Reference/Persistent_Identifier/Type,"DIF/UMM PersistentIdentifierEnum = [""DOI"", ""ARK""]"
Related_URL/Mime_Type,GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/MimeType/?format=csv
Related_URL/Protocol,"UMM-Common JSON schema GetServiceType Protocol enum = [""HTTP"", ""HTTPS"", ""FTP"", ""FTPS"", ""Not provided""]"
Related_URL/URL_Content_Type/Subtype,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/rucontenttype/?format=csv
Only values in the ""Subtype"" column."
Related_URL/URL_Content_Type/Type,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/rucontenttype/?format=csv
Only values in the ""Type"" column."
Science_Keywords/Category,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=csv
Only values from the ""Category"" column except ""EARTH SCIENCE SERVICES"" 
I.e. EARTH SCIENCE SERVICES keywords should not be provided as science keywords."
Science_Keywords/Term,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=csv
Only values from the ""Term"" column."
Science_Keywords/Topic,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=csv
Only values from the ""Topic"" column."
Science_Keywords/Variable_Level_1,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=csv
Only values from the ""Variable_Level_1"" column."
Science_Keywords/Variable_Level_2,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=csv
Only values from the ""Variable_Level_2"" column."
Science_Keywords/Variable_Level_3,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=csv
Only values from the ""Variable_Level_3"" column."
Spatial_Coverage/Geometry/Coordinate_System,"DIF/UMM CoordinateSystemEnum = [""CARTESIAN"", ""GEODETIC""]"
Spatial_Coverage/Granule_Spatial_Representation,"DIF/UMM GranuleSpatialRepresentationEnum = [""CARTESIAN"", ""GEODETIC"", ""ORBIT"", ""NO_SPATIAL""]"
Spatial_Coverage/Spatial_Coverage_Type,"DIF/UMM SpatialCoverageTypeEnum = [""Horizontal"", ""HorizontalVertical"", ""Orbit"", ""Vertical"", ""Horizon&amp;Vert""]"
Temporal_Coverage/Periodic_DateTime/Duration_Unit,"DIF/UMM DurationUnitEnum = [""DAY"", ""MONTH"", ""YEAR""]"
Temporal_Coverage/Periodic_DateTime/End_Date,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Temporal_Coverage/Periodic_DateTime/Period_Cycle_Duration_Unit,"DIF/UMM DurationUnitEnum = [""DAY"", ""MONTH"", ""YEAR""]"
Temporal_Coverage/Periodic_DateTime/Start_Date,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Temporal_Coverage/Range_DateTime/Beginning_Date_Time,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Temporal_Coverage/Range_DateTime/Ending_Date_Time,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
Temporal_Coverage/Single_Date_Time,"Controlled by the DIF/UMM Date or DateTime or EnumType. Must provide an ISO date, an ISO date-time, or a value from the DIF/UMM DateEnum = [""Not provided"", ""unknown"", ""present"", ""unbounded"", ""future""]."
