ShortName
VersionId
InsertTime
LastUpdate
LongName
DataSetId
Description
DOI/DOI
ProcessingLevelId
ArchiveCenter
CollectionState
UseConstraints/LicenseURL/URL
UseConstraints/LicenseURL/Type
DataFormat
Temporal/RangeDateTime/BeginningDateTime
ScienceKeywords/ScienceKeyword/CategoryKeyword
ScienceKeywords/ScienceKeyword/TopicKeyword
ScienceKeywords/ScienceKeyword/TermKeyword
Platforms/Platform/ShortName
OnlineAccessURLs/OnlineAccessURL/URL
OnlineResources/OnlineResource/URL
OnlineResources/OnlineResource/Type
Spatial/HorizontalSpatialDomain/Geometry/CoordinateSystem
Spatial/HorizontalSpatialDomain/Geometry/BoundingRectangle/WestBoundingCoordinate
Spatial/HorizontalSpatialDomain/Geometry/BoundingRectangle/NorthBoundingCoordinate
Spatial/HorizontalSpatialDomain/Geometry/BoundingRectangle/EastBoundingCoordinate
Spatial/HorizontalSpatialDomain/Geometry/BoundingRectangle/SouthBoundingCoordinate
Spatial/GranuleSpatialRepresentation
