Entry_ID/Short_Name
Entry_ID/Version
Entry_Title
Dataset_Citation/Persistent_Identifier/Type
Dataset_Citation/Persistent_Identifier/Identifier
Associated_DOIs/DOI
Personnel/Role
Personnel/Contact_Group/Phone/Number
Personnel/Contact_Group/Phone/Type
Personnel/Contact_Person/Last_Name
Personnel/Contact_Person/Phone/Number
Personnel/Contact_Person/Phone/Type
Science_Keywords/Category
Science_Keywords/Topic
Science_Keywords/Term
Platform/Type
Platform/Short_Name
Platform/Characteristics/Name
Platform/Characteristics/Description
Platform/Characteristics/DataType
Platform/Characteristics/Unit
Platform/Characteristics/Value
Platform/Instrument/Short_Name
Platform/Instrument/Characteristics/Name
Platform/Instrument/Characteristics/Description
Platform/Instrument/Characteristics/DataType
Platform/Instrument/Characteristics/Unit
Platform/Instrument/Characteristics/Value
Platform/Instrument/Sensor/Short_Name
Platform/Instrument/Sensor/Characteristics/Name
Platform/Instrument/Sensor/Characteristics/Description
Platform/Instrument/Sensor/Characteristics/DataType
Platform/Instrument/Sensor/Characteristics/Unit
Platform/Instrument/Sensor/Characteristics/Value
Temporal_Coverage/Range_DateTime/Beginning_Date_Time
Temporal_Coverage/Range_DateTime/Ending_Date_Time
Temporal_Coverage/Single_DateTime
Temporal_Coverage/Periodic_DateTime/Name
Temporal_Coverage/Periodic_DateTime/Start_Date
Temporal_Coverage/Periodic_DateTime/End_Date
Temporal_Coverage/Periodic_DateTime/Duration_Unit
Temporal_Coverage/Periodic_DateTime/Duration_Value
Temporal_Coverage/Periodic_DateTime/Period_Cycle_Duration_Unit
Temporal_Coverage/Periodic_DateTime/Period_Cycle_Duration_Value
Temporal_Coverage/Paleo_DateTime/Chronostratigraphic_Unit/Eon
Spatial_Coverage/Granule_Spatial_Representation
Spatial_Coverage/Geometry/Coordinate_System
Spatial_Coverage/Geometry/Bounding_Rectangle/Center_Point/Point_Longitude
Spatial_Coverage/Geometry/Bounding_Rectangle/Center_Point/Point_Latitude
Spatial_Coverage/Geometry/Bounding_Rectangle/Southernmost_Latitude
Spatial_Coverage/Geometry/Bounding_Rectangle/Northernmost_Latitude
Spatial_Coverage/Geometry/Bounding_Rectangle/Westernmost_Longitude
Spatial_Coverage/Geometry/Bounding_Rectangle/Easternmost_Longitude
Spatial_Coverage/Geometry/Point/Point_Longitude
Spatial_Coverage/Geometry/Point/Point_Latitude
Spatial_Coverage/Geometry/Line/Point/Point_Longitude
Spatial_Coverage/Geometry/Line/Point/Point_Latitude
Spatial_Coverage/Geometry/Line/CenterPoint/Point_Longitude
Spatial_Coverage/Geometry/Line/CenterPoint/Point_Latitude
Spatial_Coverage/Orbit_Parameters/Swath_Width
Spatial_Coverage/Orbit_Parameters/Period
Spatial_Coverage/Orbit_Parameters/Inclination_Angle
Spatial_Coverage/Orbit_Parameters/Number_Of_Orbits
Spatial_Coverage/Vertical_Spatial_Info/Type
Spatial_Coverage/Vertical_Spatial_Info/Value
Spatial_Coverage/Spatial_Info/Spatial_Coverage_Type
Spatial_Coverage/Spatial_Info/TwoD_Coordinate_System/TwoD_Coordinate_System_Name
Location/Location_Category
Project/Short_Name
Use_Constraints/License_URL/URL_Content_Type/Type
Use_Constraints/License_URL/URL
Organization/Organization_Type
Organization/Organization_Name/Short_Name
Organization/Personnel/Role
Organization/Personnel/Contact_Group/Phone/Number
Organization/Personnel/Contact_Group/Phone/Type
Organization/Personnel/Contact_Person/Last_Name
Organization/Personnel/Contact_Person/Phone/Number
Organization/Personnel/Contact_Person/Phone/Type
DirectDistributionInformation/Region
DirectDistributionInformation/S3CredentialsAPIEndpoint
DirectDistributionInformation/S3CredentialsAPIDocumentationURL
Reference/Persistent_Identifier/Type
Reference/Persistent_Identifier/Identifier
Related_URL/URL_Content_Type/Type
Related_URL/URL
Metadata_Association/Entry_ID/Short_Name
Metadata_Association/Entry_ID/Version
Metadata_Association/Type
IDN_Node/Short_Name
Metadata_Name
Metadata_Version
Metadata_Dates/Metadata_Creation
Metadata_Dates/Metadata_Last_Revision
Metadata_Dates/Data_Creation
Metadata_Dates/Data_Last_Revision
Additional_Attributes/Name
Additional_Attributes/DataType
Extended_Metadata/Metadata/Name
