Summary
Platform
Science_Keywords
Dataset_Citation
Organization
Personnel
Reference
Associated_DOIs
Location
Data_Resolution
Related_URL
Distribution
DirectDistributionInformation
Use_Constraints
Multimedia_Sample
Additional_Attributes
Temporal_Coverage
Spatial_Coverage
Project
Metadata_Dates
Metadata_Association
IDN_Node
Extended_Metadata
