Collection
DataGranule
Platforms
Temporal
Spatial
OrbitCalculatedSpatialDomains
MeasuredParameters
Campaigns
PGEVersionClass
OnlineAccessURLs
TwoDCoordinateSystem
OnlineResources
AssociatedBrowseImages
AssociatedBrowseImageUrls
AdditionalAttributes
