umm_field,iso_field
AdditionalAttributes/ValueAccuracyExplanation,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:valueAccuracyExplanation/gco:CharacterString
AncillaryKeywords,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/gco:CharacterString
CollectionCitations,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation [=>
CollectionCitations/Creator,"(READ from both individualName and organistionName and concatenate - WRITE to individual name only since we don't know how to parse the data.)
[=>/cit:citedResponsibleParty/cit:CI_Responsibility/cit:party/
cit:CI_Individual/cit:name/gco:CharacterString and/or [=>/cit:citedResponsibleParty/cit:CI_Responsibility/cit:party/cit:CI_Organization/cit:name/gco:CharacterString
with
[=>/cit:citedResponsibleParty/cit:CI_Responsibility/cit:role/cit:CI_RoleCode=author"
CollectionCitations/DataPresentationForm,[=>/cit:presentationForm/cit:CI_PresentationFormCode codeList= codeListValue= =
CollectionCitations/Editor,"(READ from both individualName and organistionName and concatenate - WRITE to individual name only since we don't know how to parse the data.
WRITE and READ - must have positionName and the value must be editor where the role is author)
[=>/cit:citedResponsibleParty/cit:CI_Responsibility/cit:party/
cit:CI_Individual/cit:name/gco:CharacterString and/or [=>/cit:citedResponsibleParty/cit:CI_Responsibility/cit:party/cit:CI_Organization/cit:name/gco:CharacterString
with
[=>/cit:citedResponsibleParty/cit:CI_Responsibility/cit:role/cit:CI_RoleCode=author"
CollectionCitations/IssueIdentification,[=>/cit:series/cit:CI_Series/cit:issueIdentification/gco:CharacterString
CollectionCitations/OnlineResource,[=>/cit:onlineResource/cit:CI_OnlineResource [===>
CollectionCitations/OnlineResource/ApplicationProfile,[===>/cit:applicationProfile/gco:CharacterString
CollectionCitations/OnlineResource/Description,[===>/cit:description/gco:CharacterString
CollectionCitations/OnlineResource/Function,"[===>/cit:function/cit:CI_OnLineFunctionCode codeList=""codeListLocation#CI_OnLineFunctionCode"" codeListValue=""information"" =information"
CollectionCitations/OnlineResource/Linkage,[===>/cit:linkage/gco:CharacterString
CollectionCitations/OnlineResource/Name,[===>/cit:name/gco:CharacterString
CollectionCitations/OnlineResource/Protocol,[===>/cit:protocol/gco:CharacterString
CollectionCitations/OtherCitationDetails,[=>/cit:otherCitationDetails/gco:CharacterString
CollectionCitations/Publisher,"(READ from both individualName and organistionName and concatenate - WRITE to individual name only since we don't know how to parse the data.)
[=>/cit:citedResponsibleParty/cit:CI_Responsibility/cit:party/
cit:CI_Individual/cit:name/gco:CharacterString and/or [=>/cit:citedResponsibleParty/cit:CI_Responsibility/cit:party/cit:CI_Organization/cit:name/gco:CharacterString
with
[=>/cit:citedResponsibleParty/cit:CI_Responsibility/cit:role/cit:CI_RoleCode=publisher"
CollectionCitations/ReleaseDate,[=>/cit:editionDate/gco:DateTime
CollectionCitations/ReleasePlace,"(READ - concatenate all elements
WRITE - if parsable parse into individual components if not then put all into deliveryPoint)
[=>/cit:contactInfo/cit:CI_Contact/cit:address/cit:CI_Address [==>
[==>/cit:deliveryPoint
[==>/cit:city/gco:CharacterString (0..1)
[==>/cit:administrativeArea/gco:CharacterString (0..1)
[==>./cit:postalCode/gco:CharacterString (0..1)
[==>/cit:country/gco:CharacterString (0..1)
[==>/cit:electronicMailAddress/gco:CharacterString (0..*)"
CollectionCitations/SeriesName,[=>/cit:series/cit:CI_Series/cit:name/gco:CharacterString
CollectionCitations/Title,[=>/cit:title/gco:CharacterString
CollectionCitations/Version,[=>/cit:edition/gco:CharacterString
CollectionDataType,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation/cit:identifier/mcc:MD_Identifier/ [=>
[=> mcc:code/gco:CharacterString
and
[=>gmd:codeSpace/gco:CharacterString = gov.nasa.esdis.umm.collectiondatatype
and
[=> gmd:description/gco:CharacterString = Collection Data Type"
CollectionProgress,/mdb:MI_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:status/mri:MD_ProgressCode
DOI,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation/cit:identifier/mcc:MD_Identifier/ [=>
DOI/Authority,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation/cit:citedResponsibleParty/cit:CI_Responsibility/cit:party/
cit:CI_Individual/cit:name or cit:CI_Organization/cit:name"
DOI/DOI,"[=> mcc:code/gco:CharacterString
and
[=> mcc:codeSpace = gov.nasa.esdis.umm.doi
and
[=> mcc:description/gco:CharacterString contains DOI
"
DOI/Explanation,[=> mcc:description/gco:CharacterString contains Explanation:
DOI/MissingReason,"[=> mcc:code nilReason=""inapplicable""
and
[=> mcc:codeSpace = gov.nasa.esdis.umm.doi
and
[=> mcc:description/gco:CharacterString contains DOI"
DataCenters,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:pointOfContact/cit:CI_Responsibility
/mdb:MD_Metadata/mdb:distributionInfo/mrd:MD_Distribution/mrd:distributor/mrd:MD_Distributor/mrd:distributorContact/mrd:distributorContact/cit:CI_Responsibility
/mdb:MD_Metadata/db:resourceLineage/mrl:LI_Lineage/mrl:processStep/mil:LE_ProcessStep/mrl:processor/cit:CI_Responsibility"
