umm_field,iso_field
DataCenters/Roles,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:pointOfContact/=>
/mdb:MD_Metadata/mdb:distributionInfo/mrd:MD_Distribution/mrd:distributor/mrd:MD_Distributor/mrd:distributorContact/=>
/mdb:MD_Metadata/db:resourceLineage/mrl:LI_Lineage/mrl:processStep/mil:LE_ProcessStep/mrl:processor/=>
=>cit:CI_Responsibility/cit:role/cit:CI_RoleCode codeList=""codeListLocation#CI_RoleCode"" codeListValue=""anyValidURI""
 where the value = originator, custodian, processor, distributor"
DataCenters/ShortName,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:pointOfContact/=>
/mdb:MD_Metadata/mdb:distributionInfo/mrd:MD_Distribution/mrd:distributor/mrd:MD_Distributor/mrd:distributorContact/=>
/mdb:MD_Metadata/db:resourceLineage/mrl:LI_Lineage/mrl:processStep/mil:LE_ProcessStep/mrl:processor/=>
=>cit:CI_Responsibility/cit:party/cit:CI_Organisation/cit:name/gco:CharacterString"
DataDates/Date,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation/cit:date/cit:CI_Date/cit:date/gco:DateTime
with
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation/cit:date/cit:CI_Date/cit:dateType/cit:CI_DateTypeCode codeList=""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#CI_DateTypeCode""  codeListValue varies."
DataLanguage,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:defaultLocale/lan:PT_Locale/lan:language/lan:LanguageCode codeList=""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#LanguageCode"" codeListValue=

with

 /mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:defaultLocale/lan:PT_Locale/lan:characterEncoding/lan:MD_CharacterSetCode codeList=""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_CharacterSetCode""  codeListValue= "
EntryTitle,"/mdb:MD_Metadata/mdb:metadataIdentifier/mcc:MD_Identifier/mcc:code/gco:CharacterString
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation/cit:title/gco:CharacterString"
ISOTopicCategories,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:topicCategory/mri:MD_TopicCategoryCode codeList=""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_TopicCategoryCode"" codeListValue=""{value}"">{value}"
LocationKeywords,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords [=>
write only:
If any keyword is missing and there exists a keyword later in the hierarchy (such as DetailedLocation), use NONE to fill in the values in between.
read only: don't use if a value = NONE.
[=>/mri:keyword"
LocationKeywords/Category,"[=>/mri:keyword/gco:CharacterString  ( The first value - delimited by &gt; )
with
[=>/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode codeListValue=""place"""
LocationKeywords/DetailedLocation,"[=>/mri:keyword/gco:CharacterString  ( The sixth value - delimited by &gt; )
with
[=>/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode codeListValue=""place"""
LocationKeywords/Subregion1,"[=>/mri:keyword/gco:CharacterString  ( The third value - delimited by &gt; )
with
[=>/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode codeListValue=""place"""
LocationKeywords/Subregion2,"[=>/mri:keyword/gco:CharacterString  ( The fourth value - delimited by &gt; )
with
[=>/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode codeListValue=""place"""
LocationKeywords/Subregion3,"[=>/mri:keyword/gco:CharacterString  ( The fifth value - delimited by &gt; )
with
[=>/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode codeListValue=""place"""
LocationKeywords/Type,"[=>/mri:keyword/gco:CharacterString  ( The second value - delimited by &gt; )
with
[=>/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode codeListValue=""place"""
Maturity,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation/cit:identifier/mcc:MD_Identifier/ [=>
[=> mcc:code/gco:CharacterString
and
[=>gmd:codeSpace/gco:CharacterString = gov.nasa.esdis.umm.maturity
and
[=> gmd:description/gco:CharacterString = Maturity"
MetadataAssociation/EntryId,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:associatedResource/mri:MD_AssociatedResource/mri:name
Metadata Associations:
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:associatedResource/mri:MD_AssociatedResource/mri:associationType/mri:DS_AssociationTypeCode codeList=""codeListLocation#DS_AssociationTypeCode""codeListValue=""Science Associated""
Parent Associations:
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:associatedResource/mri:MD_AssociatedResource/mri:associationType/mri:DS_AssociationTypeCode codeList=""codeListLocation#DS_AssociationTypeCode""codeListValue=""largerWorkCitation"""
MetadataDates/Date,"/mdb:MD_Metadata/mdb:dateInfo/cit:CI_Date/cit:date/gco:DateTime
/mdb:MD_Metadata/mdb:dateInfo/cit:CI_Date/cit:dateType/cit:CI_DateTypeCode @codeList=""codeListLocation#CI_DateTypeCode"" @codeListValue= creation, lastRevision, nextUpdated, expiry"
MetadataLanguage,"/mdb:MD_Metadata/mdb:defaultLocale/lan:PT_Locale/lan:language/lan:LanguageCode codeList=""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#LanguageCode""   codeListValue=
  with
/mdb:MD_Metadata/mdb:defaultLocale/lan:PT_Locale/lan:characterEncoding/lan:MD_CharacterSetCode/ https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_CharacterSetCode"" codeListValue=""utf8"""
Platforms,/mdb:MD_Metadata/mdb:acquisitionInformation/mac:MI_AcquisitionInformation/mac:platform/mac:MI_Platform id=
Platforms/Instruments,/mdb:MD_Metadata/mdb:acquisitionInformation/mac:MI_AcquisitionInformation/mac:instrument/mac:MI_Instrument id=
Platforms/Instruments/ComposedOf/ShortName,"/mdb:MD_Metadata/mdb:acquisitionInformation/mac:MI_AcquisitionInformation/mac:instrument/mac:MI_Instrument id=.../mac:identifier/mcc:MD_Identifier/mcc:code/gco:CharacterString
and
(CMR write only)
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/gco:CharacterString
with
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode"" codeListValue=""instrument"""
Platforms/Instruments/ShortName,"/mdb:MD_Metadata/mdb:acquisitionInformation/mac:MI_AcquisitionInformation/mac:instrument/mac:MI_Instrument id=.../mac:identifier/mcc:MD_Identifier/mcc:code/gco:CharacterString
and
(CMR write only)
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/gco:CharacterString
with
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode"" codeListValue=""instrument"""
Platforms/ShortName,"/mdb:MD_Metadata/mdb:acquisitionInformation/mac:MI_AcquisitionInformation/mac:platform/mac:MI_Platform id=.../mac:identifier/mcc:MD_Identifier/mcc:code/gco:CharacterString
and
(CMR write only)
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/gco:CharacterString
with
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode"" ListValue=""platform"""
ProcessingLevel,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:processingLevel
ProcessingLevel/Id,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:processingLevel/mcc:MD_Identifier/mcc:code/gco:CharacterString
and
/mdb:MD_Metadata/mdb:contentInfo/mdb:MD_ImageDescription/mdb:processingLevelCode/mcc:MD_Identifier/mcc:code/gco:CharacterString"
